"GEO","TIME_PERIOD","MODE","FUEL_TYPE","OBS_VALUE","UNIT_MEASURE"
"IND","FY2018","2W","Other",9192,"Registrations"
"IND","FY2018","3W Passenger","Other",98957,"Registrations"
"IND","FY2018","3W Goods","Other",3723,"Registrations"
"IND","FY2018","Cars","Other",297929,"Registrations"
"IND","FY2018","Bus","Other",18344,"Registrations"
"IND","FY2018","LGV (up to 7/5 tonnes)","Other",17631,"Registrations"
"IND","FY2018","MGV (7.5-12 tonnes)","Other",2279,"Registrations"
"IND","FY2018","HGV (>12 tonnes)","Other",993,"Registrations"
"IND","FY2018","Others","Other",826079,"Registrations"
"IND","FY2019","2W","EV",28494,"Registrations"
"IND","FY2019","2W","Petrol",19470481,"Registrations"
"IND","FY2019","3W Passenger","EV",558,"Registrations"
"IND","FY2019","3W Passenger","Diesel",212313,"Registrations"
"IND","FY2019","3W Passenger","Petrol/CNG",190779,"Registrations"
"IND","FY2019","3W Goods","EV",303,"Registrations"
"IND","FY2019","3W Goods","Diesel",108970,"Registrations"
"IND","FY2019","3W Goods","CNG",36,"Registrations"
"IND","FY2019","Cars","EV",1841,"Registrations"
"IND","FY2019","Cars","Diesel",1112986,"Registrations"
"IND","FY2019","Cars","Petrol",1681582,"Registrations"
"IND","FY2019","Bus","EV",146,"Registrations"
"IND","FY2019","Bus","Diesel",90947,"Registrations"
"IND","FY2019","LGV (up to 7/5 tonnes)","EV",478,"Registrations"
"IND","FY2019","LGV (up to 7/5 tonnes)","Diesel",494658,"Registrations"
"IND","FY2019","MGV (7.5-12 tonnes)","EV",1,"Registrations"
"IND","FY2019","MGV (7.5-12 tonnes)","Diesel",33528,"Registrations"
"IND","FY2019","HGV (>12 tonnes)","EV",0,"Registrations"
"IND","FY2019","HGV (>12 tonnes)","Diesel",292440,"Registrations"
"IND","FY2019","Others","EV",289,"Registrations"
"IND","FY2019","2W","Other",2144,"Registrations"
"IND","FY2019","3W Passenger","Other",130487,"Registrations"
"IND","FY2019","3W Goods","Other",6328,"Registrations"
"IND","FY2019","Cars","Other",366955,"Registrations"
"IND","FY2019","Bus","Other",15896,"Registrations"
"IND","FY2019","LGV (up to 7/5 tonnes)","Other",24911,"Registrations"
"IND","FY2019","MGV (7.5-12 tonnes)","Other",4163,"Registrations"
"IND","FY2019","HGV (>12 tonnes)","Other",667,"Registrations"
"IND","FY2019","Others","Other",942868,"Registrations"
"IND","FY2020","2W","EV",28147,"Registrations"
"IND","FY2020","2W","Petrol",19033151,"Registrations"
"IND","FY2020","3W Passenger","EV",1491,"Registrations"
"IND","FY2020","3W Passenger","Diesel",252799,"Registrations"
"IND","FY2020","3W Passenger","Petrol/CNG",172802,"Registrations"
"IND","FY2020","3W Goods","EV",342,"Registrations"
"IND","FY2020","3W Goods","Diesel",119735,"Registrations"
"IND","FY2020","3W Goods","CNG",46,"Registrations"
